year_x,iso3_o_x,iso3_d_x,Exports,gmt_offset_2020_o_x,gmt_offset_2020_d_x,lndist_x,dist_x,contig_x,comlang_off_x,comlang_ethno_x,comcol_x,col45_x,asean,aifta,international,gdp_o_x,gdp_d_x,tradeflow_comtrade_o_x,tradeflow_comtrade_d_x,tradeflow_imf_o_x,tradeflow_imf_d_x,sum_tf
2020,AUS,CHN,92618918.07,10,8,8.99,8024,0,0,0,0,0,0,0,1,1327836171,14687673893,100085567.8,113706445.3,100542360,114766776,213792013.1
2020,AUS,COL,19236.70499,10,5,9.59,14616,0,0,0,0,0,0,0,1,1327836171,270299982.9,19274.463,34039.971,19339.312,34039.988,53314.434
2020,AUS,DEU,2043923.119,10,1,9.68,15965,0,0,0,0,0,0,0,1,1327836171,3846413929,1717810.495,2576880.001,2593787.5,2564659.25,4294690.496
2020,AUS,FRA,1204271.223,10,1,9.73,16788,0,0,0,0,0,0,0,1,1327836171,2630317731,819226.326,655959.028,1295927,654645.062,1475185.354
2020,AUS,IDN,3515974.498,10,7,8.56,5202,0,0,0,0,0,0,0,1,1327836171,1058688935,3481378.716,4441638.735,3614693,4646583.5,7923017.451
2020,AUS,IND,6600741.464,10,5.5,9.23,10192,0,1,1,0,0,0,0,1,1327836171,2667687952,6830275.46,7032668.532,7463911.5,7251122.5,13862943.99
2020,AUS,JPN,22654468.1,10,9,9.01,8156,0,0,0,0,0,0,0,1,1327836171,5040107754,30245381.99,35706271.99,30991592,35622872,65951653.98
2020,AUS,KHM,82218.39806,10,7,8.84,6877,0,0,0,0,0,0,0,1,1327836171,25872798.01,83597.316,79819.926,83758.227,80219.547,163417.242
2020,AUS,KOR,14067203.94,10,9,9.05,8549,0,0,1,0,0,0,0,1,1327836171,1637895803,15751725.47,18523216.96,15723126,18680674,34274942.43
2020,AUS,LAO,19118.3568,10,7,8.94,7600,0,0,0,0,0,0,0,1,1327836171,18981800.71,19218.712,,19201.82,20353.928,19218.712
2020,AUS,LKA,134648.9891,10,5.5,9.03,8353,0,0,0,0,0,0,0,1,1327836171,80969683.54,134048.07,122886.863,137588.188,123338.75,256934.933
2020,AUS,MMR,114613.4383,10,6.5,8.98,7910,0,0,0,0,0,0,0,1,1327836171,78930257.23,114785.01,140067.221,114791.398,140060,254852.231
2020,AUS,MYS,3860255.912,10,8,8.76,6358,0,0,0,0,0,0,0,1,1327836171,337006023.8,4821991.631,4605536.557,4791206.5,4642257,9427528.188
2020,AUS,NZL,6867293.377,10,12,7.88,2632,0,1,1,0,0,0,0,1,1327836171,211734532.3,6803189.285,4405965.464,7028089,4500577,11209154.75
2020,AUS,PAK,319641.2229,10,5,9.28,10684,0,1,1,0,0,0,0,1,1327836171,300306331.7,319626.496,293390.902,331876.344,293202.031,613017.398
2020,AUS,PHL,1407130.915,10,8,8.75,6321,0,1,1,0,0,0,0,1,1327836171,361751116.3,1461893.019,830927.861,1466102.875,826359.375,2292820.88
2020,AUS,RUS,259203.8831,10,3,9.58,14412,0,0,0,0,0,0,0,1,1327836171,1488321875,471685.427,663490.6,459453.219,663767.75,1135176.027
2020,AUS,SGP,7112511.051,10,8,8.71,6047,0,1,1,0,0,0,0,1,1327836171,345295933.9,7544586.68,3722756.636,8271885.5,3873442.75,11267343.32
2020,AUS,THA,2522355.464,10,7,8.90,7352,0,0,0,0,0,0,0,1,1327836171,499681757,2747656.72,3301578.334,2762815.5,3322825.25,6049235.054
2020,AUS,USA,12837725.45,10,5,9.72,16672,0,1,1,0,0,0,0,1,1327836171,20893743833,8847109.463,11606243.36,13164794,14434216,20453352.82
2020,AUS,VNM,4404644.728,10,7,8.81,6694,0,0,0,0,0,0,0,1,1327836171,343242570.8,4406182.104,4662279.903,,4670192.5,9068462.007
2020,AUS,ZAF,769505.3566,10,2,9.24,10347,0,1,1,0,0,0,0,1,1327836171,335442101.4,771948.761,757674.099,789521.562,804101.688,1529622.86
2020,BRN,ARE,838.13786,8,4,8.81,6734,0,0,0,1,0,0,0,1,12005825.77,358868765.2,838.13,212.349,852.068,212.358,1050.479
2020,BRN,AUS,332081.0418,8,10,8.64,5661,0,0,0,0,0,0,0,1,12005825.77,1327836171,332081.03,986813.531,331964,1033076.75,1318894.561
2020,BRN,BRN,,8,8,3.37,29,0,0,0,0,0,1,0,0,12005825.77,12005825.77,,,,,0
2020,BRN,CAN,2034.36175,8,5,9.58,14429,0,0,0,0,0,0,0,1,12005825.77,1645423408,2034.356,1379.313,2010.157,1428.777,3413.669
2020,BRN,CHL,2146.21032,8,4,9.73,16795,0,0,0,0,0,0,0,1,12005825.77,252727193.7,2146.209,0.057,2115.687,0.057,2146.266
2020,BRN,CHN,1168825.691,8,8,8.00,2988,0,0,0,0,0,0,0,1,12005825.77,14687673893,1168825.678,1436055.692,1168598.875,1450204.375,2604881.37
2020,BRN,COL,33.40175,8,5,9.83,18562,0,0,0,0,0,0,0,1,12005825.77,270299982.9,33.401,239.43,33.662,239.433,272.831
2020,BRN,DEU,644.43328,8,1,9.24,10351,0,0,0,0,0,0,0,1,12005825.77,3846413929,644.427,1960.237,656.319,1948.509,2604.664
2020,BRN,FRA,90.42808,8,1,9.33,11215,0,0,0,0,0,0,0,1,12005825.77,2630317731,90.424,1820.019,93.286,1870.247,1910.443
2020,BRN,IDN,71901.21767,8,7,7.33,1527,0,0,1,0,0,1,0,1,12005825.77,1058688935,71901.206,75338.073,71659.438,75338.07,147239.279
2020,BRN,IND,347753.067,8,5.5,8.47,4767,0,0,0,1,0,0,1,1,12005825.77,2667687952,347753.058,422894.364,349919.719,424724.125,770647.422
2020,BRN,JPN,1691579.333,8,9,8.35,4246,0,0,0,0,0,0,0,1,12005825.77,5040107754,1691579.324,1699984.995,1692661.25,1735486.375,3391564.319
2020,BRN,KHM,18.16515,8,7,7.19,1325,0,0,0,0,0,1,0,1,12005825.77,25872798.01,18.165,,18.591,,18.165
2020,BRN,KOR,142164.4788,8,9,8.25,3815,0,0,0,0,0,0,0,1,12005825.77,1637895803,142164.469,215454.779,141135.719,215754,357619.248
2020,BRN,LAO,0.03622,8,7,7.59,1971,0,0,0,0,0,1,0,1,12005825.77,18981800.71,0.036,,,,0.036
2020,BRN,LKA,18758.51088,8,5.5,8.27,3892,0,0,0,1,0,0,0,1,12005825.77,80969683.54,18758.509,26450.064,18573.92,26450.064,45208.573
2020,BRN,MMR,0.24005,8,6.5,7.80,2434,0,0,0,1,0,1,0,1,12005825.77,78930257.23,0.24,41.191,0.184,40,41.431
2020,BRN,MYS,509231.301,8,8,7.30,1486,1,1,1,1,0,1,0,1,12005825.77,337006023.8,509231.278,459812.08,508539.688,459837.062,969043.358
2020,BRN,NZL,305.37131,8,12,8.95,7731,0,0,0,0,0,0,0,1,12005825.77,211734532.3,305.363,39334.706,311.968,38118.031,39640.069
